chemical	inchi	desc	$ per ton
starch	"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1"	food grade corn starch	200
NH4NO3	InChI=1S/NO3.H3N/c2-1(3)4;/h;1H3/q-1;/p+1	ammonium nitrate	200
NaNO3	InChI=1S/NO3.Na/c2-1(3)4;/q-1;+1	sodium nitrate	450
KNO3	InChI=1S/K.NO3/c;2-1(3)4/q+1;-1	potassium nitrate	850
Ca(NO3)2	InChI=1S/Ca.2NO3/c;2*2-1(3)4/q+2;2*-1	calcium nitrate	300
Mg(NO3)2	InChI=1S/Mg.2NO3/c;2*2-1(3)4/q+2;2*-1	magnesium nitrate	300
Fe(NO3)3 9H2O	InChI=1S/Fe.3NO3.9H2O/c;3*2-1(3)4;;;;;;;;;/h;;;;9*1H2/q+3;3*-1;;;;;;;;;	ferric nitrate nonahydrate	800
(NH4)2SO4	"InChI=1S/2H3N.H2O4S/c;;1-5(2,3)4/h2*1H3;(H2,1,2,3,4)"	ammonium sulfate	200
K2HPO4	"InChI=1S/2K.H3O4P/c;;1-5(2,3)4/h;;(H3,1,2,3,4)/q2*+1;/p-2"	potassium phosphate dibasic	1200
KH2PO4	"InChI=1S/K.H3O4P/c;1-5(2,3)4/h;(H3,1,2,3,4)/q+1;/p-1"	mono potassium phosphate	1200
MgSO4	"InChI=1S/Mg.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2"	magnesium sulfate	125
CaCl2	InChI=1S/Ca.2ClH/h;2*1H/q+2;;/p-2	calcium chloride	150
